[DATE]
2025/3/13 14:26:10

[PROJECT NAME]
current_control_ver2_new

[WAVE MEMO]
Title:

Author:

Memo:


[WAVE DATA]
Time[Sec], CH1, CH2, CH3, CH4, CH5, CH6, CH7, CH8, CH9, CH10, CH11, CH12, CH13, CH14, CH15, CH16
         , WAVE_qm_ref1, WAVE_qm_ref2, WAVE_qm_ref3, WAVE_qm1, WAVE_qm2, WAVE_qm3, WAVE_al_calc1, WAVE_al_calc2, WAVE_al_calc3, WAVE_ql_calc1, WAVE_ql_calc2, flag_pv, WAVE_Timer0, WAVE_Timer1, WAVE_Timer2, flag_cont_start
-0.001789,  1.100184e+000,  8.715966e+001,  1.586807e+000, -4.792213e-005,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  1.000000e+000,  1.575360e+001,  1.331040e+001,  8.829120e+001,  2.000000e+000
-0.001779,  1.100184e+000,  8.715966e+001,  1.586807e+000, -4.792213e-005,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.575360e+001,  1.331040e+001,  8.829120e+001,  2.000000e+000
-0.001769,  1.100184e+000,  8.715966e+001,  1.586807e+000, -4.792213e-005,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.575360e+001,  1.332480e+001,  8.829120e+001,  2.000000e+000
-0.001759,  1.100184e+000,  8.715966e+001,  1.586807e+000, -4.792213e-005,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.575360e+001,  1.332480e+001,  8.559360e+001,  2.000000e+000
-0.001748,  1.100184e+000,  8.715966e+001,  1.586807e+000, -4.792213e-005,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.575360e+001,  1.332480e+001,  8.559360e+001,  2.000000e+000
-0.001738,  1.100184e+000,  8.715966e+001,  1.586807e+000, -4.792213e-005,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.575360e+001,  1.332480e+001,  8.559360e+001,  2.000000e+000
-0.001728,  1.100184e+000,  8.715966e+001,  1.586807e+000, -4.792213e-005,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.575360e+001,  1.332480e+001,  8.559360e+001,  2.000000e+000
-0.001718,  1.100184e+000,  8.715966e+001,  1.586807e+000, -4.792213e-005,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.575360e+001,  1.332480e+001,  8.559360e+001,  2.000000e+000
-0.001708,  1.100184e+000,  8.715966e+001,  1.586807e+000, -4.792213e-005,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.575360e+001,  1.332480e+001,  8.559360e+001,  2.000000e+000
-0.001698,  1.100184e+000,  8.715966e+001,  1.586807e+000, -4.792213e-005,  4.816055e-005,  4.768372e-005,  0.000000e+000,  3.001724e-008,  5.033898e-011,  0.000000e+000,  7.574229e-001,  0.000000e+000,  1.575360e+001,  1.332480e+001,  8.559360e+001,  2.000000e+000
